epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.8823,1.12589,2.59559,1.39975,0.4172,0.41517,0.37499,0.18962,1.51587,2.28208,1.72688,0.003324,0.003324,0.003324
2,148.363,1.12719,1.66805,1.38475,0.54151,0.49286,0.49348,0.23372,1.66571,1.95053,1.83321,0.00659142,0.00659142,0.00659142
3,215.645,1.16711,1.58325,1.41096,0.47631,0.3677,0.32967,0.14783,1.77757,2.29219,1.95558,0.00979285,0.00979285,0.00979285
4,282.477,1.22441,1.54805,1.45796,0.48231,0.3234,0.30246,0.14357,1.80457,2.24673,1.99587,0.009703,0.009703,0.009703
5,349.089,1.17647,1.37684,1.42699,0.52044,0.45293,0.45413,0.22652,1.69577,1.73237,1.87137,0.009604,0.009604,0.009604
6,415.989,1.15082,1.29867,1.40718,0.5448,0.46994,0.48764,0.25207,1.77255,1.80669,1.93579,0.009505,0.009505,0.009505
7,483.126,1.11684,1.20884,1.3774,0.5803,0.52671,0.54245,0.29201,1.66217,1.60212,1.8648,0.009406,0.009406,0.009406
8,549.572,1.10009,1.16101,1.36669,0.58493,0.49244,0.48812,0.26084,1.63294,1.83803,1.89855,0.009307,0.009307,0.009307
9,616.729,1.0774,1.12144,1.3545,0.58791,0.52548,0.56206,0.31114,1.5941,1.50413,1.81012,0.009208,0.009208,0.009208
10,683.662,1.07927,1.0887,1.35055,0.67305,0.60142,0.65711,0.37208,1.54059,1.28975,1.74836,0.009109,0.009109,0.009109
11,750.901,1.05019,1.05094,1.33052,0.65209,0.55575,0.61407,0.34592,1.54911,1.36367,1.74501,0.00901,0.00901,0.00901
12,817.944,1.03692,1.03627,1.32199,0.60566,0.54235,0.54908,0.30699,1.57885,1.49288,1.77675,0.008911,0.008911,0.008911
13,884.349,1.02608,1.00836,1.32103,0.69518,0.59698,0.64274,0.37707,1.51969,1.32408,1.74793,0.008812,0.008812,0.008812
14,951.097,1.01546,0.98286,1.30609,0.71184,0.64541,0.7105,0.41703,1.4887,1.17991,1.68526,0.008713,0.008713,0.008713
15,1017.61,1.01261,0.97244,1.30133,0.69977,0.62386,0.67099,0.39983,1.45685,1.21421,1.6535,0.008614,0.008614,0.008614
16,1085.04,0.99715,0.9468,1.29378,0.64662,0.60104,0.64497,0.39013,1.44341,1.26007,1.62925,0.008515,0.008515,0.008515
17,1151.55,0.98762,0.93459,1.28759,0.7266,0.66626,0.71641,0.43389,1.44372,1.13396,1.64443,0.008416,0.008416,0.008416
18,1218.24,0.98059,0.92161,1.2843,0.70649,0.67663,0.72884,0.45086,1.42236,1.13105,1.61614,0.008317,0.008317,0.008317
19,1284.84,0.97384,0.91024,1.27209,0.74488,0.67244,0.73506,0.45999,1.40048,1.09944,1.59492,0.008218,0.008218,0.008218
20,1351.69,0.96643,0.8938,1.27099,0.75294,0.64955,0.7204,0.43292,1.43601,1.12127,1.63075,0.008119,0.008119,0.008119
21,1418.57,0.96098,0.88076,1.26607,0.74998,0.67438,0.73414,0.45986,1.41271,1.09003,1.61935,0.00802,0.00802,0.00802
22,1485.6,0.9556,0.88131,1.2654,0.73154,0.67792,0.73567,0.46639,1.38025,1.07272,1.58457,0.007921,0.007921,0.007921
23,1552.54,0.94454,0.85558,1.25425,0.76097,0.69451,0.75641,0.47678,1.37075,1.04152,1.57259,0.007822,0.007822,0.007822
24,1618.97,0.93616,0.84695,1.25022,0.78238,0.6676,0.75443,0.47783,1.37497,1.04589,1.56374,0.007723,0.007723,0.007723
25,1685.02,0.93674,0.84404,1.25065,0.76787,0.68126,0.75943,0.47917,1.38624,1.04516,1.59098,0.007624,0.007624,0.007624
26,1752.2,0.9336,0.82655,1.24588,0.81158,0.68188,0.77762,0.48879,1.38305,1.02144,1.5692,0.007525,0.007525,0.007525
27,1818.91,0.92708,0.8235,1.24261,0.72276,0.69637,0.74402,0.46499,1.3722,1.06114,1.58265,0.007426,0.007426,0.007426
28,1884.89,0.92051,0.81093,1.23957,0.78124,0.7105,0.78021,0.50165,1.35076,0.98042,1.54354,0.007327,0.007327,0.007327
29,1951.91,0.91947,0.81156,1.23136,0.76063,0.68928,0.76248,0.49667,1.34589,0.9975,1.54129,0.007228,0.007228,0.007228
30,2018.79,0.91654,0.80938,1.2318,0.80284,0.71688,0.79479,0.51326,1.34611,0.95536,1.53968,0.007129,0.007129,0.007129
31,2085.3,0.90805,0.79394,1.22749,0.79768,0.73695,0.80348,0.51182,1.35801,0.95736,1.55442,0.00703,0.00703,0.00703
32,2152.41,0.90517,0.78609,1.22765,0.78424,0.73164,0.78818,0.50894,1.32506,0.95578,1.52002,0.006931,0.006931,0.006931
